Unnamed: 0,filepath_visual_pair1,filepath_audio_pair1,filepath_visual_pair2,filepath_audio_pair2,label_pair1,label_pair2
0,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-03.csv,./Embedding_audio_p/MM-0925-03.csv,./Label/MM-0902-01.csv,./Label/MM-0925-03.csv
1,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-02.csv,./Embedding_audio_p/MM-0925-02.csv,./Label/MM-0902-01.csv,./Label/MM-0925-02.csv
2,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-02.csv,./Embedding_audio_p/MM-0925-02.csv,./Label/MM-0902-01.csv,./Label/MM-0925-02.csv
3,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-01.csv,./Embedding_audio_p/MM-0925-01.csv,./Label/MM-0902-01.csv,./Label/MM-0925-01.csv
4,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-01.csv,./Embedding_audio_p/MM-0925-01.csv,./Label/MM-0902-01.csv,./Label/MM-0925-01.csv
5,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0925-01.csv,./Embedding_audio_p/MM-0925-01.csv,./Label/MM-0902-01.csv,./Label/MM-0925-01.csv
6,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0923-03.csv,./Embedding_audio_p/MM-0923-03.csv,./Label/MM-0902-01.csv,./Label/MM-0923-03.csv
7,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0923-03.csv,./Embedding_audio_p/MM-0923-03.csv,./Label/MM-0902-01.csv,./Label/MM-0923-03.csv
8,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0923-03.csv,./Embedding_audio_p/MM-0923-03.csv,./Label/MM-0902-01.csv,./Label/MM-0923-03.csv
9,./Embedding_visual_p/MM-0902-01.csv,./Embedding_audio_p/MM-0902-01.csv,./Embedding_visual_p/MM-0923-03.csv,./Embedding_audio_p/MM-0923-03.csv,./Label/MM-0902-01.csv,./Label/MM-0923-03.csv
